collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2022041189277,2022,041189277,1,2,2,2,16,4,3,0,0,2,0,0,9,3,E01025269,3,1,0,1,-1
2022052201704,2022,052201704,1,1,1,1,22,5,3,0,0,0,0,0,9,2,E01007210,-1,0,0.0467,0.9533,-1
2022421205615,2022,421205615,1,1,1,1,79,11,3,0,0,0,0,0,9,8,E01021924,3,1,0,1,-1
2022461192158,2022,461192158,2,3,2,2,21,5,3,0,0,1,0,0,9,2,E01016035,3,1,0,1,-1
2022541876622,2022,541876622,1,1,1,1,35,6,3,0,0,0,0,0,97,2,E01033499,-1,0,0.04848,0.95152,-1
2022010381768,2022,010381768,1,1,1,1,23,5,3,0,0,0,0,0,9,-1,-1,-1,0,0,1,-1
2022061199892,2022,061199892,2,1,1,1,60,9,3,0,0,0,0,0,9,2,E01006326,3,1,0,1,-1
2022440262500,2022,440262500,1,1,1,2,37,7,3,0,0,0,0,0,9,6,E01023183,-1,0,0.07216,0.92784,-1
2022061195272,2022,061195272,2,1,1,2,28,6,3,0,0,0,0,0,9,1,E01005755,3,1,0,1,-1
2022411197756,2022,411197756,2,1,1,2,40,7,3,0,0,0,0,0,9,5,E01023924,3,1,0,1,-1
2022501250690,2022,501250690,1,1,2,1,34,6,2,0,0,2,0,0,9,-1,-1,7,1,1,0,-1
2022010364274,2022,010364274,1,1,2,2,52,8,3,0,0,0,3,0,11,2,E01003175,-1,0,0,1,-1
2022041129993,2022,041129993,2,1,1,2,35,6,3,0,0,0,0,0,9,4,E01025149,3,1,0,1,-1
2022041177251,2022,041177251,1,1,1,1,18,4,3,0,0,0,0,0,9,2,E01005487,3,1,0,1,-1
2022041236007,2022,041236007,1,2,1,1,41,7,2,0,0,0,0,0,19,9,E01025364,5,1,1,0,-1
2022031197355,2022,031197355,2,2,2,2,17,4,3,0,0,1,0,0,9,-1,-1,3,1,0,1,-1
2022122201335,2022,122201335,1,2,2,2,17,4,3,0,0,2,0,0,9,1,E01027874,-1,0,0.04529,0.95471,-1
2022131153133,2022,131153133,1,1,1,1,40,7,2,0,0,0,0,0,9,1,E01011433,7,1,1,0,-1
2022302200882,2022,302200882,2,1,1,1,54,8,3,0,0,0,0,0,20,9,E01019622,-1,0,0.07841,0.92159,-1
2022010365892,2022,010365892,1,1,3,2,18,4,3,1,1,0,0,0,0,9,E01000201,-1,0,0,1,-1
2022010412334,2022,010412334,1,1,3,1,29,6,3,5,3,0,0,0,0,-1,-1,-1,0,0,1,-1
2022440271767,2022,440271767,1,1,3,2,14,3,2,8,2,0,0,0,0,10,E01022497,-1,0,1,0,-1
2022440418796,2022,440418796,2,2,2,1,13,3,2,0,0,2,0,0,9,7,E01003865,-1,0,1,0,-1
2022302201389,2022,302201389,2,2,1,1,58,9,3,0,0,0,0,0,19,3,E01019552,-1,0,0.0645,0.9355,-1
2022041190835,2022,041190835,2,1,1,1,32,6,3,0,0,0,0,0,9,2,E01025275,3,1,0,1,-1
2022320416879,2022,320416879,2,1,1,1,55,8,2,0,0,0,0,0,9,6,E01026391,-1,0,1,0,-1
2022010356335,2022,010356335,1,1,1,1,25,5,3,0,0,0,0,0,23,3,E01033593,-1,0,0,1,-1
2022052201497,2022,052201497,1,1,3,2,41,7,3,5,9,0,0,0,0,4,E01011012,-1,0,0.15839,0.84161,-1
2022302201809,2022,302201809,1,1,3,2,14,3,3,10,9,0,0,0,0,8,E01019704,-1,0,0.07673,0.92327,-1
2022201276502,2022,201276502,1,1,1,2,57,9,3,0,0,0,0,0,1,1,E01010482,3,1,0,1,-1
2022010377474,2022,010377474,1,1,1,1,41,7,3,0,0,0,0,0,9,9,E01002271,-1,0,0,1,-1
2022131210901,2022,131210901,1,1,1,1,19,4,3,0,0,0,0,0,9,3,E01010836,3,1,0,1,-1
2022461237162,2022,461237162,2,1,1,1,20,4,3,0,0,0,0,0,9,8,E01024575,3,1,0,1,-1
2022041214344,2022,041214344,2,1,1,1,62,9,3,0,0,0,0,0,23,3,E01005588,3,1,0,1,-1
2022430117342,2022,430117342,2,2,2,1,3,1,3,0,0,2,0,0,9,-1,-1,-1,0,0.05122,0.94878,-1
2022010418941,2022,010418941,1,1,1,1,30,6,3,0,0,0,0,0,3,2,E01001433,-1,0,0,1,-1
2022041141994,2022,041141994,2,2,2,2,65,9,3,0,0,2,0,0,9,-1,-1,3,1,0,1,-1
2022421234060,2022,421234060,1,1,3,1,76,11,2,1,3,0,0,0,0,3,E01015986,5,1,1,0,-1
2022010366712,2022,010366712,2,1,1,1,22,5,3,0,0,0,0,0,1,2,E01000904,-1,0,0,1,-1
2022141224747,2022,141224747,1,1,2,2,26,6,2,0,0,1,0,0,9,-1,-1,7,1,1,0,-1
2022991136432,2022,991136432,2,2,1,1,49,8,3,0,0,0,0,0,19,8,-1,3,1,0,1,-1
2022332200767,2022,332200767,2,1,1,1,65,9,3,0,0,0,0,0,1,9,E01025998,-1,0,0.05554,0.94446,-1
202234WNC7202,2022,34WNC7202,1,1,1,1,38,7,2,0,0,0,0,0,3,7,E01027221,-1,0,1,0,-1
2022311246526,2022,311246526,1,1,1,1,48,8,3,0,0,0,0,0,5,7,E01028293,3,1,0,1,-1
2022010413512,2022,010413512,1,1,3,2,30,6,3,9,9,0,0,0,0,3,E01002772,-1,0,0,1,-1
2022041257883,2022,041257883,1,1,3,2,52,8,2,5,3,0,0,0,0,8,E01024862,7,1,1,0,-1
2022161171461,2022,161171461,1,1,3,2,3,1,2,7,1,0,0,0,0,1,E01012878,7,1,1,0,-1
202254D292822,2022,54D292822,1,1,3,1,42,7,3,1,9,0,0,0,0,6,E01032011,-1,0,0.0813,0.9187,-1
2022052203070,2022,052203070,1,1,1,1,37,7,3,0,0,0,0,0,3,1,E01006494,-1,0,0.157,0.843,-1
202263B009422,2022,63B009422,1,1,2,2,75,10,3,0,0,1,0,0,9,-1,-1,-1,0,0.10167,0.89833,-1
2022991171844,2022,991171844,2,1,1,1,28,6,3,0,0,0,0,0,9,10,E01031255,3,1,0,1,-1
2022351218415,2022,351218415,2,2,1,1,35,6,3,0,0,0,0,0,19,8,E01023656,3,1,0,1,-1
2022010417206,2022,010417206,1,1,1,1,34,6,3,0,0,0,0,0,1,3,E01004698,-1,0,0,1,-1
2022201147068,2022,201147068,2,1,1,2,31,6,3,0,0,0,0,0,9,1,E01009631,3,1,0,1,-1
2022430518811,2022,430518811,1,1,1,1,10,2,3,0,0,0,0,0,-1,-1,-1,-1,0,0.07952,0.92048,-1
2022471248729,2022,471248729,1,1,1,1,76,11,3,0,0,0,0,0,5,8,E01031542,3,1,0,1,-1
2022010401054,2022,010401054,1,1,1,1,47,8,3,0,0,0,0,0,9,3,E01002543,-1,0,0,1,-1
2022010352578,2022,010352578,1,1,1,1,46,8,3,0,0,0,0,0,9,3,E01004666,-1,0,0,1,-1
2022052201816,2022,052201816,2,1,1,2,63,9,3,0,0,0,0,0,9,8,E01007247,-1,0,0.04821,0.95179,-1
2022201275955,2022,201275955,1,1,1,1,20,4,3,0,0,0,0,0,9,1,E01009325,3,1,0,1,-1
2022991180111,2022,991180111,1,1,1,1,43,7,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2022991250448,2022,991250448,1,2,1,2,60,9,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2022461245229,2022,461245229,1,1,3,2,14,3,3,5,1,0,0,0,0,2,E01016042,3,1,0,1,-1
2022451199546,2022,451199546,3,2,1,2,32,6,3,0,0,0,0,0,9,10,E01031700,3,1,0,1,-1
2022622200930,2022,622200930,1,1,1,2,40,7,3,0,0,0,0,0,19,4,W01001139,-1,0,0.0369,0.9631,-1
2022010407355,2022,010407355,1,1,1,1,33,6,2,0,0,0,0,0,3,7,E01004500,-1,0,1,0,-1
2022401229407,2022,401229407,1,3,2,2,85,11,2,0,0,1,0,0,9,7,E01017545,6,1,1,0,-1
2022461240908,2022,461240908,1,1,1,2,28,6,3,0,0,0,0,0,9,4,E01024429,3,1,0,1,-1
202260B043860,2022,60B043860,1,2,2,2,-1,-1,3,0,0,2,0,0,9,-1,-1,-1,0,0.03046,0.96954,-1
2022131208154,2022,131208154,2,2,1,1,36,7,3,0,0,0,0,0,19,9,E01010706,3,1,0,1,-1
2022430115235,2022,430115235,2,2,2,2,87,11,1,0,0,1,0,0,9,5,E01016371,-1,0,0,0,-1
2022471132626,2022,471132626,2,2,1,2,25,5,3,0,0,0,0,0,9,6,E01031449,3,1,0,1,-1
2022401147348,2022,401147348,1,1,3,2,29,6,3,5,3,0,0,0,0,4,E01017473,3,1,0,1,-1
2022461163719,2022,461163719,1,1,3,2,80,11,3,5,3,0,0,0,0,6,E01024807,3,1,0,1,-1
2022010377192,2022,010377192,1,1,1,1,54,8,3,0,0,0,0,0,3,9,E01002164,-1,0,0,1,-1
2022131144314,2022,131144314,2,1,1,2,59,9,2,0,0,0,0,0,9,1,E01011103,6,1,1,0,-1
2022430348824,2022,430348824,1,6,2,1,-1,-1,3,0,0,2,0,0,9,-1,-1,-1,0,0.10225,0.89775,-1
2022461165174,2022,461165174,1,1,1,1,18,4,3,0,0,0,0,0,9,5,E01024206,3,1,0,1,-1
202254C497822,2022,54C497822,1,1,1,2,25,5,3,0,0,0,0,0,9,6,E01031853,-1,0,0.03367,0.96633,-1
2022111222314,2022,111222314,2,1,1,1,27,6,3,0,0,0,0,0,9,2,E01020820,3,1,0,1,-1
2022622200080,2022,622200080,1,1,3,2,64,9,3,5,1,0,0,0,0,6,W01000755,-1,0,0.08743,0.91257,-1
2022201270110,2022,201270110,4,3,1,1,63,9,3,0,0,0,0,0,9,10,E01016776,3,1,0,1,-1
2022501196749,2022,501196749,1,1,1,1,81,11,3,0,0,0,0,0,9,3,E01018907,3,1,0,1,-1
2022052200899,2022,052200899,1,1,1,2,28,6,3,0,0,0,0,0,-1,-1,-1,-1,0,0.11183,0.88817,-1
2022010355042,2022,010355042,4,1,1,2,57,9,3,0,0,0,0,0,9,-1,-1,-1,0,0,1,-1
2022010368667,2022,010368667,2,1,1,1,38,7,3,0,0,0,0,0,9,10,E01001108,-1,0,0,1,-1
2022041203212,2022,041203212,1,1,1,2,26,6,3,0,0,0,0,0,9,4,E01025460,3,1,0,1,-1
2022320730991,2022,320730991,2,1,2,2,2,1,3,0,0,2,0,0,9,8,E01032994,-1,0,0.02184,0.97816,-1
2022010357235,2022,010357235,1,1,3,2,17,4,3,1,1,0,0,0,0,4,E01001711,-1,0,0,1,-1
2022311223010,2022,311223010,1,1,3,2,63,9,3,2,1,0,0,0,0,-1,-1,3,1,0,1,-1
2022111176033,2022,111176033,2,1,1,1,56,9,3,0,0,0,0,0,1,2,E01011974,3,1,0,1,-1
2022991140226,2022,991140226,2,2,2,2,34,6,3,0,0,1,0,0,9,8,-1,3,1,0,1,-1
2022010389246,2022,010389246,2,1,1,1,37,7,3,0,0,0,0,0,19,8,E01002657,-1,0,0,1,-1
2022041157444,2022,041157444,2,1,1,2,55,8,2,0,0,0,0,0,5,6,E01025421,6,1,1,0,-1
2022010378449,2022,010378449,2,2,1,2,39,7,3,0,0,0,0,0,9,4,E01023337,-1,0,0,1,-1
2022010396044,2022,010396044,1,2,2,2,35,6,3,0,0,9,0,0,9,8,E01021061,-1,0,0,1,-1
2022170M10682,2022,170M10682,1,4,2,1,37,7,2,0,0,2,0,0,9,3,E01012017,-1,0,1,0,-1
2022302200289,2022,302200289,1,1,1,1,23,5,3,0,0,0,0,0,9,2,E01028113,-1,0,0.10436,0.89564,-1
2022622200642,2022,622200642,2,2,1,1,44,7,3,0,0,0,0,0,9,5,W01001296,-1,0,0.03,0.97,-1
2022622200967,2022,622200967,1,1,1,1,41,7,2,0,0,0,0,0,9,4,E01003169,-1,0,1,0,-1
2022991247235,2022,991247235,2,1,1,2,60,9,3,0,0,0,0,0,9,3,-1,3,1,0,1,-1
2022010355181,2022,010355181,2,1,1,1,30,6,3,0,0,0,0,0,3,3,E01003586,-1,0,0,1,-1
2022141184455,2022,141184455,2,6,2,2,39,7,3,0,0,1,0,0,9,1,E01007544,3,1,0,1,-1
2022361224861,2022,361224861,2,1,2,2,66,10,3,0,0,1,0,0,9,4,E01026794,3,1,0,1,-1
2022161184532,2022,161184532,2,2,1,2,23,5,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2022421139969,2022,421139969,2,1,2,2,20,4,3,0,0,2,0,0,9,8,E01016093,3,1,0,1,-1
2022010353887,2022,010353887,1,1,1,1,38,7,3,0,0,0,0,0,3,4,E01003543,-1,0,0,1,-1
2022111231694,2022,111231694,4,4,1,1,36,7,2,0,0,0,0,0,19,1,E01008735,6,1,1,0,-1
